"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"356","Eku Leota (NO)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.3%"
"356","Chris Smith (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.2%"
"356","Trevor Nowaske (DET)","2","4","1","2","0","0","0","1","0","14","0.0","0.0","1.3%"
"356","Garrett Nelson (DEN)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","3.1%"
"356","Thomas Incoom (CAR)","0","1","0","0","0","0","0","0","0","16","0.0","0.0","0.6%"
"356","Demontrey Jacobs (ARI)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"356","Alex Palczewski (DEN)","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"356","Isaiah Land (DAL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"356","Landon Jackson (BUF)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.2%"
"356","Jonah Elliss (DEN)","11","8","2.5","5","1","0","0","0","0","13","0.0","0.0","1.2%"
"356","Javon Solomon (BUF)","6","1","1","1","0","0","0","0","0","16","0.0","0.0","0.7%"
"356","Cedric Johnson (CIN)","7","4","2","2","0","0","0","2","0","9","0.0","0.0","0.7%"
"356","Mohamed Kamara (TB)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","11.2%"
"356","Marist Liufau (DAL)","11","8","1","1","0","0","1","0","0","17","0.0","0.0","1.0%"
"356","Austin Booker (CHI)","19","16","4.5","5","3","0","1","0","0","10","0.0","0.0","10.1%"
"356","Brennan Jackson (LV)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.3%"
"356","Jalyx Hunt (PHI)","28","24","6.5","9","3","3","2","1","1","17","0.0","0.0","13.2%"
"356","Gabe Hall (PHI)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"356","Braiden McGregor (NYJ)","6","8","1","1","1","0","0","0","0","13","0.0","0.0","1.0%"
"356","Jordan Jefferson (CIN)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"356","Eric Watts (NYJ)","6","3","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"356","Myles Cole (CIN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"356","Derrick McLendon II (MIA)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"356","Carl Jones Jr. (BAL)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.9%"
"356","Casey Rogers (NYG)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"356","Denzel Daxon (ARI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"356","Jamie Sheriff (SEA)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"356","Jalon Walker (ATL)","21","12","5.5","5","1","0","2","1","0","15","0.0","0.0","14.7%"
"356","Mike Green (BAL)","17","24","3.5","7","0","0","0","1","0","17","0.0","0.0","7.8%"
"356","Collin Oliver (GB)","1","0","0","1","0","0","0","0","0","1","0.0","0.0","0.8%"
