PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,RUSH %,TGT %,TOUCH %,UTIL %,FANTASY PTS,PTS/100 SNAPS
Elic Ayomanor,WR,TEN,16,787,49,80,0,11,5,11,75.5,9.6
Devaughn Vele,WR,NO,13,437,34,51,0,9,6,9,41.3,9.5
Jaylin Lane,WR,WAS,15,348,23,37,0,9,5,9,33.2,9.5
Theo Johnson,TE,NYG,15,872,58,86,0,8,5,8,82.8,9.5
Xavier Hutchinson,WR,HOU,17,672,40,58,0,8,6,9,63.0,9.4
Aidan O'Connell,QB,LV,1,51,51,82,2,0,45,45,4.8,9.4
Kendrick Bourne,WR,SF,16,594,37,57,0,9,6,9,55.1,9.3
Curtis Samuel,WR,BUF,6,151,25,40,0,6,5,6,14.1,9.3
Cooper Kupp,WR,SEA,16,768,48,76,0,9,6,9,70.3,9.2
Pat Bryant,WR,DEN,15,475,32,48,0,10,7,10,43.8,9.2
Matthew Golden,WR,GB,14,452,32,53,2,10,9,12,41.0,9.1
Gunnar Helm,TE,TEN,16,533,33,53,0,10,8,10,47.7,8.9
T.J. Hockenson,TE,MIN,15,691,46,79,0,10,8,10,61.8,8.9
Tyler Johnson,WR,NYJ,12,292,24,39,0,6,4,6,25.7,8.8
Jonnu Smith,TE,PIT,17,536,32,52,2,10,9,12,47.2,8.8
John Metchie III,WR,NYJ,16,445,28,46,1,11,8,11,38.9,8.7
Sterling Shepard,WR,TB,13,495,38,57,1,11,9,12,43.0,8.7
Demarcus Robinson,WR,SF,14,420,30,46,0,8,5,9,36.2,8.6
Xavier Legette,WR,CAR,15,642,43,69,0,10,6,10,54.3,8.5
Michael Mayer,TE,LV,13,465,36,60,0,11,8,11,38.8,8.3
Dyami Brown,WR,JAC,14,356,25,37,2,10,7,12,29.7,8.3
Tyler Lockett,WR,LV,17,498,29,50,0,11,6,11,41.1,8.3
Kevin Austin Jr.,WR,NO,8,242,30,44,0,10,5,10,20.0,8.3
Darius Slayton,WR,NYG,14,755,54,81,0,8,5,8,61.8,8.2
Noah Brown,WR,WAS,4,102,26,40,0,10,5,10,8.3,8.1
Hunter Long,TE,JAC,9,258,29,41,0,7,5,7,20.5,7.9
Olamide Zaccheaus,WR,CHI,16,580,36,53,1,11,7,12,45.8,7.9
Gabe Davis,WR,BUF,6,238,40,58,0,8,5,8,18.9,7.9
Darnell Washington,TE,PIT,16,546,34,57,0,8,6,8,42.4,7.8
Jerry Jeudy,WR,CLE,17,921,54,85,0,12,6,12,70.7,7.7
Joshua Palmer,WR,BUF,12,393,33,49,0,9,6,9,30.3,7.7
Cedric Tillman,WR,CLE,13,515,40,63,0,8,4,8,39.0,7.6
Austin Hooper,TE,NE,16,512,32,50,0,5,4,5,38.3,7.5
Jackson Hawes,TE,BUF,17,487,29,43,0,4,3,4,36.7,7.5
Isaiah Bond,WR,CLE,16,494,31,49,1,9,5,10,36.7,7.4
Mitchell Evans,TE,CAR,17,393,23,37,0,6,5,7,29.2,7.4
Robbie Chosen,WR,WAS,3,72,24,38,0,13,7,13,5.3,7.4
Daniel Bellinger,TE,NYG,16,555,35,51,0,5,3,5,40.6,7.3
Tre' Harris,WR,LAC,17,555,33,49,0,8,6,8,39.4,7.1
Isaiah Likely,TE,BAL,14,488,35,57,0,7,6,7,34.7,7.1
Van Jefferson,WR,TEN,16,583,36,58,0,9,5,9,41.0,7.0
Mason Taylor,TE,NYJ,13,654,50,81,0,10,7,10,44.9,6.9
Elijah Arroyo,TE,SEA,13,316,24,39,0,8,5,8,21.9,6.9
Tyrell Shavers,WR,BUF,17,441,26,39,0,5,3,5,30.5,6.9
Christian Kirk,WR,HOU,13,433,33,49,0,12,6,12,29.9,6.9
Zay Jones,WR,ARI,8,271,34,50,0,7,4,7,18.3,6.8
Andrei Iosivas,WR,CIN,17,851,50,77,0,7,4,7,56.9,6.7
Davis Allen,TE,LAR,17,585,34,52,0,6,4,6,38.8,6.6
Rashod Bateman,WR,BAL,13,551,42,69,0,7,3,7,36.4,6.6
Lil'Jordan Humphrey,WR,DEN,10,329,33,49,0,8,4,8,21.6,6.6
JuJu Smith-Schuster,WR,KC,17,620,36,56,0,7,5,7,40.5,6.5
Jerome Ford,RB,CLE,13,269,21,31,9,12,19,21,17.6,6.5
Jack Bech,WR,LV,15,343,23,39,0,8,6,8,22.4,6.5
Kyle Juszczyk,RB,SF,17,510,30,45,0,5,5,6,33.0,6.5
Charlie Kolar,TE,BAL,17,402,24,40,0,4,2,4,26.2,6.5
Darnell Mooney,WR,ATL,15,778,52,82,0,9,4,9,50.3,6.5
Treylon Burks,WR,WAS,8,292,37,60,0,8,3,8,19.0,6.5
Chris Moore,WR,WAS,14,429,31,49,0,5,3,6,27.6,6.4
Cade Otton,TE,TB,16,993,62,93,0,8,6,8,63.2,6.4
Ja'Tavion Sanders,TE,CAR,13,393,30,49,0,9,7,9,25.0,6.4
Cole Kmet,TE,CHI,16,768,48,70,0,6,4,6,48.7,6.3
Jalen Tolbert,WR,DAL,13,464,36,51,0,7,4,7,28.3,6.1
