PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Roschon Johnson,CHI,—,0,0,0,BYE,0,0,—,—,—,0,—,—,—,—,—,—,0,0.0
Nathan Carter,ATL,—,0,0,—,BYE,—,—,0,—,—,—,—,—,—,—,—,—,0,0.0
Jacardia Wright,SEA,—,—,0,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Sione Vaki,DET,—,—,0,—,—,—,—,BYE,0,0,—,—,0,0,0,—,0,0,0.0
Xazavian Valladay,MIN,—,—,0,—,—,BYE,—,—,—,—,—,—,—,—,—,—,—,0,0.0
Sincere McCormick,SF,—,—,0,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Jordan James,SF,—,—,0,—,—,—,—,—,—,—,—,—,—,BYE,—,0,—,0,0.0
Trey Sermon,PIT,—,—,—,0,BYE,—,—,—,0,0,—,—,—,—,—,—,—,0,0.0
British Brooks,HOU,—,—,—,0,0,BYE,0,0,0,0,—,0,0,0,0,0,0,0,0.0
Avery Williams,NYJ,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,—,—,—,0,0.0
Josh Williams,TB,—,—,—,—,0,—,—,0,BYE,—,—,—,—,—,—,—,—,0,0.0
Nyheim Miller-Hines,LAC,—,—,—,—,—,0,0,0,—,—,—,BYE,—,—,—,—,—,0,0.0
Owen Wright,TB,—,—,—,—,—,0,—,—,BYE,—,0,0,—,—,—,—,—,0,0.0
Lew Nichols III,PIT,—,—,—,—,BYE,0,—,—,0,—,—,—,—,—,—,—,—,0,0.0
Travis Homer,CHI,—,—,—,—,BYE,—,0,0,0,—,0,—,0,0,—,—,0,0,0.0
D'Ernest Johnson,NE,—,—,—,—,—,—,0,—,—,0,0,—,—,BYE,—,0,0,0,0.0
Ronnie Rivers,LAR,—,—,—,—,—,—,0,BYE,—,—,—,—,0,0,0,0,0,0,0.0
Eric Gray,NYG,—,—,—,—,—,—,0,—,—,—,—,0,—,BYE,—,—,0,0,0.0
Kye Robichaux,DET,—,—,—,—,—,—,0,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Jaret Patterson,LAC,—,—,—,—,—,—,—,0,0,0,—,BYE,0,—,—,—,0,0,0.0
Michael Burton,DEN,—,—,—,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,0,0.0
Raheem Blackshear,PIT,—,—,—,—,BYE,—,—,0,—,—,—,—,—,—,—,—,—,0,0.0
Chase Edmonds,WAS,—,—,—,—,—,—,—,—,—,—,0,BYE,—,—,0,—,0,0,0.0
Kendall Milton,CIN,—,—,—,—,—,—,—,—,—,BYE,0,—,—,—,—,—,—,0,0.0
Kalel Mullings,TEN,—,—,—,—,—,—,—,—,—,BYE,—,0,0,—,0,0,0,0,0.0
Gary Brightwell,CIN,—,—,—,—,—,—,—,—,—,BYE,—,0,0,—,—,—,—,0,0.0
Deion Hankins,CHI,—,—,—,—,BYE,—,—,—,—,—,—,0,—,—,—,—,—,0,0.0
Chris Collier,LV,—,—,—,—,—,—,—,BYE,—,—,—,0,—,—,—,—,—,0,0.0
Myles Gaskin,SEA,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,—,—,0,0.0
Keilan Robinson,NYJ,—,—,—,—,—,—,—,—,BYE,—,—,—,0,—,—,—,—,0,0.0
Jashaun Corbin,NE,—,—,—,—,—,—,—,—,—,—,—,—,0,BYE,—,—,—,0,0.0
Alexander Mattison,MIA,—,—,—,—,—,—,—,—,—,—,—,BYE,—,0,0,—,—,0,0.0
Corey Kiner,ARI,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,0,0,0,0.0
Keaontay Ingram,KC,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,—,0,0.0
