PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Jack Bech,LV,1,0,1,0,5,1,2,BYE,0,1,1,0,3,6,3,3,—,27,1.8
Kalif Raymond,DET,3,1,2,3,0,0,3,BYE,1,4,0,2,—,—,1,5,2,27,1.9
Hunter Renfrow,CAR,6,9,4,2,3,2,—,—,—,—,—,—,—,BYE,—,—,—,26,4.3
Isaac TeSlaa,DET,1,1,2,0,1,0,1,BYE,0,1,1,1,2,3,1,7,4,26,1.6
Jordan Whittington,LAR,0,2,3,1,3,4,4,BYE,0,0,1,3,1,1,1,1,0,25,1.6
Lil'Jordan Humphrey,DEN,—,—,—,—,—,8,2,0,—,—,0,BYE,1,3,4,2,5,25,2.8
Mitch Tinsley,CIN,0,1,1,2,0,0,0,0,2,BYE,0,6,9,0,2,1,0,24,1.5
Chris Moore,WAS,1,—,2,3,1,5,5,0,0,0,5,BYE,0,—,—,0,1,23,1.8
Tim Patrick,JAC,0,1,1,1,1,1,1,BYE,—,0,4,4,1,6,0,1,1,23,1.5
Tyrell Shavers,BUF,0,2,2,0,1,5,BYE,0,1,1,5,0,0,1,0,2,3,23,1.4
Tory Horton,SEA,0,4,4,2,4,1,3,BYE,4,—,—,—,—,—,—,—,—,22,2.8
Jayden Reed,GB,5,0,—,—,BYE,—,—,—,—,—,—,—,—,4,6,3,4,22,3.7
Xavier Smith,LAR,1,0,0,0,0,0,3,BYE,3,1,2,—,3,1,0,2,6,22,1.5
Marquez Valdes-Scantling,PIT,0,1,1,—,3,3,—,—,—,—,—,—,—,1,1,3,9,22,2.4
Konata Mumpfield,LAR,0,0,0,0,0,2,1,BYE,0,2,0,2,0,1,1,8,5,22,1.4
Kyle Williams,NE,1,0,1,0,0,2,1,0,1,2,3,1,1,BYE,0,3,5,21,1.3
Josh Reynolds,NYJ,3,—,—,2,4,3,9,—,BYE,—,—,—,—,—,—,—,—,21,4.2
Roman Wilson,PIT,0,2,0,0,BYE,1,2,5,2,3,2,3,1,0,—,—,0,21,1.5
Nick Westbrook-Ikhine,MIA,2,3,0,1,0,1,4,3,4,1,0,BYE,0,0,1,—,—,20,1.4
Zay Jones,ARI,1,0,3,—,3,8,2,BYE,0,1,—,—,—,—,—,—,—,18,2.3
Tyler Johnson,NYJ,2,1,3,—,0,1,3,5,BYE,1,0,—,0,—,—,1,1,18,1.5
Allen Lazard,NYJ,—,0,3,1,2,—,3,2,BYE,—,—,3,1,1,2,—,—,18,1.8
Treylon Burks,WAS,—,—,—,—,—,—,—,—,1,3,—,BYE,4,1,2,5,2,18,2.6
Elijah Moore,BUF,1,1,3,0,—,2,BYE,4,1,2,—,3,—,—,—,—,—,17,1.9
Mason Tipton,NO,—,—,0,0,0,0,1,1,0,0,BYE,4,4,0,2,5,—,17,1.3
Isaiah Hodgins,NYG,—,—,—,—,—,—,—,—,—,—,6,6,1,BYE,2,0,2,17,2.8
Brycen Tremayne,CAR,0,5,2,4,1,0,0,0,1,—,2,0,0,BYE,0,0,1,16,1.1
Jamari Thrash,CLE,1,1,3,0,1,3,2,3,BYE,1,—,—,—,—,—,—,—,15,1.7
Luke McCaffrey,WAS,0,1,3,3,2,1,2,3,0,—,—,BYE,—,—,—,—,—,15,1.7
Ray-Ray McCloud III,NYG,5,2,5,2,—,—,—,—,1,0,—,—,—,BYE,—,—,—,15,2.5
Arian Smith,NYJ,0,2,2,0,1,1,3,1,BYE,0,0,0,—,0,2,1,1,14,0.9
Casey Washington,ATL,6,—,—,3,BYE,2,2,1,—,0,0,—,—,—,—,—,—,14,2.0
Kevin Austin Jr.,NO,—,—,1,—,—,—,—,—,—,—,BYE,0,0,0,5,3,5,14,2.0
Jalin Hyatt,NYG,—,—,0,0,3,5,1,—,0,—,4,—,—,BYE,1,—,—,14,1.8
Gage Larvadain,CLE,—,—,—,—,0,4,1,0,BYE,0,1,0,3,3,2,0,0,14,1.2
Jimmy Horn Jr.,CAR,—,—,—,—,3,2,2,1,2,0,0,1,0,BYE,1,0,2,14,1.2
Jalen McMillan,TB,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,2,3,9,14,4.7
Xavier Weaver,ARI,—,—,—,1,—,—,0,BYE,0,—,3,3,1,—,—,2,3,13,1.6
Bo Melton,GB,0,—,0,0,BYE,0,0,0,0,5,0,0,1,2,1,0,3,12,0.8
Tutu Atwell,LAR,1,1,1,2,4,—,0,BYE,—,—,—,—,—,—,2,0,1,12,1.3
Scotty Miller,PIT,0,0,0,1,BYE,0,1,—,—,—,0,0,—,0,0,3,7,12,1.0
Malachi Corley,CLE,—,—,—,—,0,0,2,0,BYE,1,2,1,0,0,1,4,1,12,1.0
Dylan Drummond,ATL,—,—,—,—,BYE,—,—,0,0,—,—,3,3,5,0,0,0,11,1.4
James Proche II,TEN,—,—,—,—,—,—,—,0,0,BYE,—,3,1,1,1,0,5,11,1.4
Gabe Davis,BUF,—,—,—,—,—,—,BYE,—,—,—,4,2,2,2,—,—,1,11,2.2
Noah Brown,WAS,3,4,—,—,—,—,—,—,—,—,—,BYE,—,2,1,—,—,10,2.5
KhaDarel Hodge,ATL,1,0,0,—,BYE,0,0,8,0,0,1,0,—,—,0,—,—,10,0.9
Savion Williams,GB,1,0,0,3,BYE,0,0,1,2,2,1,0,—,—,—,0,—,10,0.8
Austin Trammell,JAC,—,—,—,—,—,—,—,BYE,1,3,1,1,4,0,—,—,—,10,1.7
Curtis Samuel,BUF,—,—,—,2,2,—,BYE,0,1,1,3,—,—,—,—,—,—,9,1.5
Robbie Chosen,WAS,—,—,—,—,—,—,4,—,—,4,1,BYE,—,—,—,—,—,9,3.0
Ashton Dulin,IND,0,0,0,1,5,0,—,1,0,0,BYE,1,—,—,—,—,0,8,0.7
Tylan Wallace,BAL,0,2,1,2,0,0,BYE,1,0,0,1,1,—,0,0,—,—,8,0.6
Braxton Berrios,HOU,—,—,—,—,—,BYE,3,5,0,0,—,—,—,—,—,—,—,8,2.0
KeAndre Lambert-Smith,LAC,1,0,—,0,0,2,—,—,1,—,—,BYE,—,—,1,1,1,7,0.8
Dee Eskridge,MIA,2,1,0,0,0,1,2,0,1,—,—,BYE,0,0,0,0,—,7,0.5
Kameron Johnson,TB,0,0,0,0,0,4,1,0,BYE,1,0,0,0,1,0,0,0,7,0.4
Skyy Moore,SF,0,0,1,1,0,0,1,1,1,1,0,0,0,BYE,0,1,0,7,0.4
Malik Heath,GB,0,1,0,1,BYE,0,0,3,1,0,—,0,1,—,—,—,—,7,0.6
Jahdae Walker,CHI,—,—,—,0,BYE,—,—,0,0,—,—,—,—,0,—,3,4,7,1.2
Cedrick Wilson Jr.,MIA,—,—,—,—,—,—,—,1,1,0,0,BYE,2,0,0,1,2,7,0.8
Xavier Restrepo,TEN,—,—,—,—,—,—,—,—,—,BYE,—,6,1,—,—,—,—,7,3.5
Ben Skowronek,PIT,1,0,0,1,BYE,0,0,1,0,0,0,1,1,1,0,0,—,6,0.4
Darius Cooper,PHI,0,0,0,—,—,—,—,0,BYE,0,0,2,0,1,2,0,1,6,0.5
Beaux Collins,NYG,0,0,0,0,3,0,1,2,0,—,—,—,—,BYE,—,—,—,6,0.7
Devontez Walker,BAL,—,2,1,0,0,—,BYE,—,—,—,0,1,2,—,0,0,0,6,0.6
Jalen Brooks,ARI,—,—,—,—,0,—,—,BYE,—,—,—,—,—,3,3,0,0,6,1.2
Dante Pettis,NO,—,—,—,—,—,—,—,—,—,0,BYE,1,0,0,0,1,4,6,0.9
