"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"214","Nick Niemann (GB)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.3%"
"214","Sam Kamara (CLE)","3","3","0","3","0","0","0","0","0","4","0.0","0.0","2.4%"
"214","Christian Elliss (NE)","32","44","0","0","3","0","1","0","0","15","0.0","0.0","9.0%"
"214","Jon Rhattigan (LV)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","2.5%"
"214","Xavier Thomas (ARI)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.2%"
"214","Kayvon Thibodeaux (NYG)","13","12","2.5","5","2","0","0","0","0","10","0.0","0.0","18.9%"
"214","Kingsley Enagbare (GB)","16","22","2","6","0","0","0","0","0","16","0.0","0.0","1.5%"
"214","DeMarvin Leal (PIT)","1","1","0","0","0","0","0","0","0","3","0.0","0.0","0.7%"
"214","David Ojabo (BAL)","4","8","0.5","0","0","0","0","0","0","14","0.0","0.0","3.2%"
"214","Arnold Ebiketie (ATL)","17","19","2","5","1","0","0","0","0","17","0.0","0.0","2.8%"
"214","Travon Walker (JAC)","19","19","3.5","8","2","0","0","0","0","14","0.0","0.0","25.4%"
"214","Boye Mafe (SEA)","11","20","2","4","5","0","1","0","0","17","0.0","0.0","17.1%"
"214","Cameron Thomas (CLE)","7","20","2.5","1","0","0","0","0","0","17","0.0","0.0","1.4%"
"214","Sam Williams (DAL)","23","13","1","7","2","0","1","1","0","17","0.0","0.0","2.0%"
"214","Nik Bonitto (DEN)","31","15","14","14","1","0","2","0","0","17","0.0","0.0","53.4%"
"214","Ali Gaye (TEN)","1","0","0","0","0","0","0","0","0","3","0.0","0.0","1.1%"
"214","DeAngelo Malone (ATL)","0","2","0","0","1","1","0","0","0","7","0.0","0.0","2.5%"
"214","Nephi Sewell (NO)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"214","Arron Mosby (GB)","0","0","0","0","0","0","0","0","0","8","0.0","0.0","1.9%"
"214","Baylon Spector (BUF)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.7%"
"214","Jake Hansen (HOU)","0","0","0","0","0","0","0","0","0","13","0.0","0.0","1.4%"
"214","Jacoby Jones (WAS)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"214","Mark Robinson (NYJ)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.1%"
"214","Segun Olubi (IND)","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.0%"
"214","BJ Ojulari (ARI)","6","2","1","1","0","0","0","0","0","8","0.0","0.0","1.0%"
"214","Derick Hall (SEA)","11","19","2","3","2","0","0","0","0","14","0.0","0.0","3.2%"
"214","Nolan Smith Jr. (PHI)","15","16","3","1","0","0","1","0","0","12","0.0","0.0","10.6%"
"214","William Kwenkeu (BAL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"214","Jared Verse (LAR)","35","24","7.5","11","1","0","3","0","0","17","0.0","0.0","52.6%"
"214","Yaya Diaby (TB)","29","21","7","13","1","0","1","0","0","17","0.0","0.0","21.7%"
"214","Durell Nchami (IND)","1","1","0","0","0","0","0","0","0","3","0.0","0.0","3.5%"
"214","Keion White (SF)","7","11","1.5","2","1","0","0","1","0","14","0.0","0.0","1.5%"
"214","Lukas Van Ness (GB)","12","7","1.5","3","0","0","0","0","0","9","0.0","0.0","5.3%"
"214","Gabriel Murphy (MIN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"214","Tuli Tuipulotu (LAC)","33","12","13","20","3","0","2","1","0","16","0.0","0.0","46.2%"
"214","Byron Young (LAR)","45","37","12","12","0","0","1","0","0","17","0.0","0.0","45.8%"
"214","Yasir Abdullah (JAC)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.2%"
"214","Tavius Robinson (BAL)","15","13","4.5","3","1","0","1","0","0","10","0.0","0.0","2.7%"
"214","Titus Leo (PHI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
