PLAYER,POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Lil'Jordan Humphrey,WR,DEN,—,—,—,—,—,8,2,0,—,—,0,BYE,1,3,4,2,5,25,2.8
Daniel Bellinger,TE,NYG,1,0,1,1,4,0,4,1,—,2,1,2,0,BYE,4,0,3,24,1.6
Mitch Tinsley,WR,CIN,0,1,1,2,0,0,0,0,2,BYE,0,6,9,0,2,1,0,24,1.5
Tanner Hudson,TE,CIN,—,—,—,0,0,5,—,2,2,BYE,3,1,2,1,5,1,2,24,2.0
Chris Moore,WR,WAS,1,—,2,3,1,5,5,0,0,0,5,BYE,0,—,—,0,1,23,1.8
Adam Trautman,TE,DEN,1,3,0,3,1,0,0,0,2,1,1,BYE,4,2,0,3,2,23,1.4
Tim Patrick,WR,JAC,0,1,1,1,1,1,1,BYE,—,0,4,4,1,6,0,1,1,23,1.5
Mitchell Evans,TE,CAR,0,1,1,4,1,1,3,0,0,1,2,1,3,BYE,0,3,2,23,1.4
Tyrell Shavers,WR,BUF,0,2,2,0,1,5,BYE,0,1,1,5,0,0,1,0,2,3,23,1.4
Luke Schoonmaker,TE,DAL,1,2,1,2,2,2,0,3,2,BYE,0,1,1,2,1,0,2,22,1.4
Tory Horton,WR,SEA,0,4,4,2,4,1,3,BYE,4,—,—,—,—,—,—,—,—,22,2.8
Jayden Reed,WR,GB,5,0,—,—,BYE,—,—,—,—,—,—,—,—,4,6,3,4,22,3.7
Xavier Smith,WR,LAR,1,0,0,0,0,0,3,BYE,3,1,2,—,3,1,0,2,6,22,1.5
Marquez Valdes-Scantling,WR,PIT,0,1,1,—,3,3,—,—,—,—,—,—,—,1,1,3,9,22,2.4
Brock Wright,TE,DET,0,3,0,0,3,0,3,BYE,1,1,7,4,—,—,—,—,—,22,2.0
Konata Mumpfield,WR,LAR,0,0,0,0,0,2,1,BYE,0,2,0,2,0,1,1,8,5,22,1.4
Kareem Hunt,RB,KC,3,1,1,1,1,1,0,1,2,BYE,2,3,2,1,2,0,0,21,1.3
Kyle Williams,WR,NE,1,0,1,0,0,2,1,0,1,2,3,1,1,BYE,0,3,5,21,1.3
Josh Reynolds,WR,NYJ,3,—,—,2,4,3,9,—,BYE,—,—,—,—,—,—,—,—,21,4.2
Roman Wilson,WR,PIT,0,2,0,0,BYE,1,2,5,2,3,2,3,1,0,—,—,0,21,1.5
