,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
107,Kenneth Gainwell,TB,RB,106.15,107.10,121.85,105.84,95.66,113.80,125.00,134.90,126.00,9.60,1.54,,
108,Brock Purdy,SF,QB,98.48,107.30,103.10,58.92,94.76,99.20,48.20,107.80,106.00,8.98,2.82,,
109,Aaron Jones,MIN,RB,124.42,109.70,121.08,109.07,130.02,118.70,125.50,140.50,188.50,6.72,1.64,,
110,Jacory Croskey-Merritt,WAS,RB,124.50,110.90,141.38,119.69,125.98,116.90,130.50,154.10,134.00,,1.05,,
111,Josh Downs,IND,WR,110.15,111.40,127.58,99.85,109.68,121.00,128.90,161.10,148.00,5.07,1.45,,
112,Bo Nix,DEN,QB,103.00,112.70,93.19,53.28,103.06,101.40,43.40,103.30,54.00,,3.28,,
113,Jayden Reed,GB,WR,111.23,113.20,138.96,121.92,110.03,121.70,127.70,137.40,140.00,3.62,1.14,,
114,Isaiah Likely,NYG,TE,135.32,114.80,128.46,106.45,128.50,108.40,121.20,151.20,123.50,5.76,1.48,,
115,Dallas Goedert,PHI,TE,126.19,115.50,101.22,101.59,130.98,105.30,118.10,128.00,139.50,4.42,1.97,,
T116,Hunter Henry,NE,TE,207.11,116.60,141.97,129.44,162.28,128.70,123.60,129.80,208.00,3.40,0.97,,
T116,Romeo Doubs,NE,WR,119.55,116.60,149.10,138.91,121.96,132.10,136.20,160.90,134.50,5.27,0.96,,
118,Jordan Mason,MIN,RB,119.55,118.60,152.93,128.37,117.56,121.00,133.90,162.00,149.50,7.86,0.82,,
119,Mark Andrews,BAL,TE,137.10,119.00,121.84,112.02,136.62,114.50,115.70,134.50,162.00,5.10,1.42,,
120,Rachaad White,WAS,RB,90.02,120.70,125.19,112.68,111.13,120.00,142.70,179.50,158.00,9.34,1.53,,
121,Jared Goff,DET,QB,100.44,121.40,140.54,63.43,100.13,115.70,61.20,136.20,197.50,8.98,1.22,,
122,Kenyon Sadiq,NYJ,TE,183.94,122.30,133.57,21.31,163.50,129.50,132.50,146.50,90.00,13.16,1.28,,
123,Brandon Aubrey,DAL,K,150.00,124.00,85.31,-,-,84.70,215.10,142.10,98.00,,5.30,,
124,Cameron Dicker,LAC,K,190.50,127.30,108.37,-,-,124.40,219.50,147.90,115.50,1.58,2.20,,
125,Jonathon Brooks,CAR,RB,90.07,130.80,128.68,97.61,112.36,110.80,135.00,152.60,132.00,,1.56,,
126,Jason Myers,SEA,K,185.67,131.50,117.90,-,-,126.50,227.40,139.80,161.50,2.18,1.83,,
127,KC Concepcion,CLE,WR,117.74,132.00,145.56,20.87,130.65,132.00,131.90,130.60,65.50,18.47,1.09,Ques,Shoulder
128,Matthew Golden,GB,WR,127.35,133.60,106.44,131.03,124.05,131.30,147.50,200.40,116.00,,2.19,,
129,Xavier Worthy,KC,WR,128.61,134.40,135.22,124.85,120.15,127.30,134.50,156.60,127.50,,1.23,Ques,Shoulder
