,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T623,Maurice Alexander,CHI,WR,-,-,170.00,-,-,-,455.70,-,-,,,,
T623,Damien Alford,FA,WR,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Josh Ali,FA,WR,-,-,-,-,-,-,391.00,-,-,,,,
T623,Nelson Agholor,FA,WR,-,-,170.04,-,-,-,-,-,-,,,,
T623,Jamal Agnew,FA,WR,-,-,170.03,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Jonathan Adams,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jerome Washington,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Scotty Washington,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Tre Watson,KC,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Treyton Welch,NO,TE,-,-,169.99,-,-,-,-,-,-,,,,
T623,Garrett Walston,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Jacob Warren,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Tommy Tremble,CAR,TE,-,-,169.94,-,243.93,-,568.90,-,-,0.72,,,
T623,Trevon Wesco,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Blake Whiteheart,CLE,TE,-,-,170.00,-,-,-,-,-,-,,,,
T623,Josh Whyle,GB,TE,-,-,169.96,-,-,-,597.50,-,-,,,,
T623,Nate Wieting,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Mitchell Wilcox,FA,TE,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jared Wiley,KC,TE,-,-,169.99,-,-,-,-,-,-,,,,
T623,Carson Williams,FA,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Rodney Williams,FA,TE,-,-,170.01,-,-,-,-,-,-,,,,
T623,Brayden Willis,SF,TE,-,-,170.00,-,-,-,-,-,-,,,,
T623,Joel Wilson,TEN,TE,-,-,-,-,-,-,-,-,-,,,,
T623,Charlie Woerner,ATL,TE,-,-,170.01,-,-,-,-,-,-,,,,
T623,Malik McClain,NYJ,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Donaven McCulley,MIA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Lance McCutcheon,TEN,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Ryan McDaniel,FA,WR,-,-,-,-,-,-,500.30,-,-,,,,
T623,Alex McGough,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kyric McGowan,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tommy Mellott,FA,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Bub Means,NO,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Landon Lenoir,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Talolo Limu-Jones,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Henry Litwin,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Johnathan Lloyd,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tyler Lockett,FA,WR,-,-,170.02,-,-,-,487.50,-,-,,,,
T623,Justin Lockhart,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Dominic Lovett,DET,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Xavier Loyd,KC,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Taysir Mack,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Ja'Mori Maclin,BUF,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Joseph Manjack,DEN,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Zimari Manning,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Keelan Marion,ATL,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Gabe Marks,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Terrace Marshall,MIA,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Tay Martin,DET,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Lawrence Keys,DET,WR,-,-,-,-,-,-,-,-,-,,,Ques,Leg
T623,Ramel Keyton,FA,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Van Jefferson,WAS,WR,-,-,169.99,-,-,-,625.70,-,-,,,,
T623,Jaray Jenkins,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jakobie Keeney-James,FA,WR,-,-,169.95,-,-,-,-,-,-,,,,
T623,Josh Kelly,HOU,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tom Kennedy,DET,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Marvin Jones,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tim Jones,JAX,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Zay Jones,FA,WR,-,-,170.02,-,-,-,-,-,-,,,,
T623,Lamar Jordan,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kevin Kassis,FA,WR,-,-,-,-,-,-,410.00,-,-,,,,
T623,Charlie Jones,CIN,WR,-,-,-,-,-,-,-,-,-,,,,
T623,J.J. Jones,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jacoby Jones,WAS,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Jeshaun Jones,MIN,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Jontre Kirklin,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Keith Kirkwood,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Shaleak Knotts,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Malik Knowles,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Aaron Lacombe,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Caullin Lacy,NYJ,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Chris Lacy,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Mason Kinsey,TEN,WR,-,-,170.00,-,-,-,370.00,-,-,,,,
T623,KeAndre Lambert-Smith,LAC,WR,-,-,169.95,-,241.50,-,611.50,-,-,,,,
T623,Gage Larvadain,CLE,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Kwamie Lassiter,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kendrick Law,DET,WR,-,-,170.00,-,-,-,-,-,-,,,IR,Knee - ACL
T623,Allen Lazard,FA,WR,-,-,170.02,-,-,-,-,-,-,,,,
T623,Shane Leatherbury,FA,WR,-,-,-,-,-,-,363.00,-,-,,,,
T623,DeAndre Hopkins,FA,WR,-,-,170.01,-,-,-,537.50,-,-,,,,
T623,Jimmy Horn,CAR,WR,-,-,169.97,-,241.44,-,656.50,-,-,,,,
T623,Dennis Houston,TB,WR,-,-,169.99,-,-,-,411.00,-,-,,,,
T623,Jordan Hudson,DAL,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kyron Hudson,CHI,WR,-,-,-,-,-,-,584.50,-,-,,,,
T623,Max Hurleman,PIT,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kendall Hinton,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Changa Hodge,FA,WR,-,-,-,-,-,-,358.00,-,-,,,,
T623,KhaDarel Hodge,FA,WR,-,-,170.04,-,-,-,-,-,-,,,,
T623,Isaiah Hodgins,NYG,WR,-,-,169.99,-,241.10,-,-,-,-,,,,
T623,Traeshon Holden,DAL,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Cyrus Holder,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jimmy Holiday,KC,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Alexander Hollins,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Brandon Hayes,FA,WR,-,-,-,-,-,-,647.00,-,-,,,,
T623,Malik Heath,FA,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jaivon Heiligh,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Emmanuel Henderson,SEA,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Thomas Hennigan,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,AJ Henning,MIA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Ra'Shaun Henry,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jake Herslow,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Julian Hicks,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Aleva Hifo,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Deonte Harty,FA,WR,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,Chris Hilton,WAS,WR,-,-,-,-,-,-,-,-,-,,,,
T623,TreVontae Hights,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Imatorbhebhe,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Xavier Hutchinson,HOU,WR,322.87,-,170.01,-,242.28,-,615.50,-,-,0.78,,,
T623,John Jiles,FA,WR,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Brandon Johnson,LV,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Collin Johnson,FA,WR,-,-,170.01,-,-,-,-,-,-,,,,
T623,Cornelius Johnson,BAL,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Tyler Johnson,DAL,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Willie Johnson,FA,WR,-,-,-,-,-,-,471.30,-,-,,,,
T623,Xavier Johnson,CIN,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jamel Johnson,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jaylen Johnson,FA,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Johnny Johnson,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kameron Johnson,TB,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,KeeSean Johnson,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Marcus Johnson,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Trenton Irwin,SF,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Andy Isabella,FA,WR,-,-,-,-,-,-,-,-,-,,,Ques,Ankle
T623,Calvin Jackson,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Courtney Jackson,TEN,WR,-,-,-,-,-,-,-,-,-,,,,
T623,JaQuae Jackson,LAC,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jermaine Jackson,FA,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Jha'Quan Jackson,HOU,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kearis Jackson,FA,WR,-,-,170.01,-,-,-,-,-,-,,,,
T623,Lucky Jackson,DET,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Shedrick Jackson,LV,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Trishton Jackson,FA,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Sam James,FA,WR,-,-,-,-,-,-,579.80,-,-,,,,
T623,Tyshaun James,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jaxon Janke,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Rakim Jarrett,FA,WR,-,-,170.00,-,-,-,564.60,-,-,,,,
T623,Damion Jeanpiere,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Beaux Collins,NYG,WR,-,-,170.00,-,-,-,-,-,-,,,Ques,Concussion
T623,Kenny Cook,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Malachi Corley,CLE,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Chase Cota,FA,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Britain Covey,PHI,WR,-,-,169.99,-,-,-,353.00,-,-,,,,
T623,Jacob Cowing,SF,WR,-,-,169.98,-,242.17,-,669.50,-,-,,,,
T623,River Cracraft,WAS,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Josh Crockett,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jamison Crowder,FA,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Malik Cunningham,DET,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Zach D'Orazio,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Mac Dalena,BUF,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jared Dangerfield,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Elijah Cooks,FA,WR,-,-,170.01,-,-,-,-,-,-,,,,
T623,Darius Cooper,PHI,WR,-,-,169.99,-,-,-,624.00,-,-,,,,
T623,Shaquan Davis,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Terrill Davis,MIN,WR,-,-,-,-,-,-,634.50,-,-,,,,
T623,Seth Dawkins,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jacob De Jesus,KC,WR,-,-,-,-,-,-,-,-,-,,,,
T623,DeVonte Dedmon,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Nick DeGennaro,NE,WR,-,-,-,-,-,-,474.00,-,-,,,,
T623,Dallas Daniels,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,DaVaris Daniels,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Frank Darby,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jaelon Darden,FA,WR,-,-,170.01,-,-,-,-,-,-,,,,
T623,Corey Davis,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Danny Davis,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Davion Davis,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Derius Davis,LAC,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Gabe Davis,FA,WR,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee - ACL
T623,Joaquin Davis,PIT,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Braxton Burmeister,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Deontay Burnett,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jermaine Burton,FA,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Rico Bussey,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Terrell Bynum,FA,WR,-,-,170.01,-,-,-,-,-,-,,,,
T623,Jeff Caldwell,KC,WR,-,-,-,71.04,-,-,632.70,-,-,,,,
T623,Cole Burgess,PIT,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Alex Bullock,JAX,WR,-,-,-,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T623,Jason Brownlee,KC,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,John Brown,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Sean Brown,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Sincere Brown,LAC,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Marquez Callaway,FA,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Dalen Cambre,NYG,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Josh Cameron,JAX,WR,-,-,169.99,73.09,-,-,555.60,-,-,,,,
T623,Dalevon Campbell,LAC,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Parris Campbell,DAL,WR,-,-,170.03,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T623,Cam Camper,NYJ,WR,-,-,-,-,-,-,-,-,-,,,,
T623,DeAndre Carter,FA,WR,-,-,170.03,-,-,-,-,-,-,,,Ques,Knee
T623,Joshua Cephus,FA,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,DJ Chark,FA,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Irvin Charles,SEA,WR,-,-,170.00,-,-,-,401.00,-,-,,,,
T623,Dan Chisena,CAR,WR,-,-,169.99,-,-,-,-,-,-,,,IR,Undisclosed
T623,Efton Chism,NE,WR,-,-,169.93,-,242.14,-,655.80,-,-,,,,
T623,Robbie Chosen,FA,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Cody Chrest,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Marquez Clark,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Trevon Clark,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Chase Claypool,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tyrie Cleveland,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Colton Dowell,SF,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kyle Dixon,NE,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Cameron Dorner,NE,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Phillip Dorsett,LV,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Greg Dortch,DET,WR,-,-,169.96,-,242.16,-,590.40,-,-,,,,
T623,Devin Duvernay,ARI,WR,-,-,170.00,-,-,-,631.50,-,-,,,,
T623,Brennan Eagles,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Jerrion Ealy,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tru Edwards,LAR,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Dylan Drummond,ATL,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Grant DuBose,FA,WR,-,-,170.00,-,-,-,-,-,-,,,Ques,Shoulder
T623,Reggie Diggs,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Emeka Emezie,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Alex Erickson,FA,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Dee Eskridge,FA,WR,-,-,170.01,-,-,-,-,-,-,,,,
T623,Omari Evans,KC,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Erik Ezukanma,PHI,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jequez Ezzard,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Simi Fehoko,ARI,WR,-,-,169.98,-,-,-,-,-,-,,,,
T623,Da'Quan Felton,FA,WR,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Tai Felton,MIN,WR,-,-,169.93,-,241.28,-,668.50,-,-,,,,
T623,Isiah Ferguson,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Ethan Fernea,FA,WR,-,-,-,-,-,-,406.00,-,-,,,,
T623,Maurice Ffrench,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Dez Fitzpatrick,FA,WR,-,-,170.01,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Dontae Fleming,MIN,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Luke Floriea,CLE,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Isaiah Ford,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Bryce Ford-Wheaton,FA,WR,-,-,170.00,-,-,-,511.20,-,-,,,Ques,Achilles
T623,Montorie Foster,SEA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Deshon Foxx,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Kaylon Geiger,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Xavier Gipson,NYG,WR,-,-,170.00,-,-,-,-,-,-,,,,
T623,Malik Flowers,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Zakhari Franklin,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Ty Fryfogle,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Travis Fulgham,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Russell Gage,FA,WR,-,-,170.03,-,-,-,-,-,-,,,,
T623,Kenny Golladay,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Gordon,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Stephen Gosnell,BUF,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Anthony Gould,IND,WR,-,-,169.99,-,-,-,680.10,-,-,,,,
T623,Danny Gray,PHI,WR,-,-,169.99,-,-,-,-,-,-,,,,
T623,Bryson Green,ARI,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Garrett Greene,TB,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Wesley Grimes,SF,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Luke Grimm,LAC,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Xavier Guillory,BAL,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Sahmir Hagans,IND,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Justin Hall,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Hammond,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Mecole Hardman,BUF,WR,-,-,169.96,-,-,-,-,-,-,,,,
T623,Mike Harley,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Harper,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,De'Michael Harris,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Keilahn Harris,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Travell Harris,FA,WR,-,-,-,-,-,-,-,-,-,,,,
T623,Tony Jones,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Velus Jones,SEA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,CJ Marable,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kevin Marks,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ahmani Marshall,CLE,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Damien Martinez,GB,RB,-,-,169.99,-,242.27,-,-,-,-,,,,
T623,Alexander Mattison,FA,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Nate McCrary,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Jase McClellan,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Taj McGowan,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kenny McIntosh,FA,RB,327.91,-,169.99,-,241.82,-,685.50,-,-,,,,
T623,Jaleel McLaughlin,DEN,RB,327.88,-,169.97,-,242.23,-,-,-,-,,,,
T623,Dontae McMillan,BAL,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dedrick Mills,FA,RB,-,-,-,-,-,-,545.50,-,-,,,,
T623,Kendall Milton,CIN,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jordan Mims,MIN,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Elijah Mitchell,PHI,RB,-,-,170.00,-,-,-,621.00,-,-,,,,
T623,Jeremy McNichols,WAS,RB,-,-,170.03,-,241.07,-,650.00,-,-,,,,
T623,Kirk Merritt,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ellis Merriweather,FA,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Sony Michel,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dante Miller,NYG,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Ricky Person,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Scottie Phillips,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Artavis Pierce,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dameon Pierce,PHI,RB,-,-,169.99,-,-,-,653.30,-,-,,,,
T623,Josh Pitsenberger,HOU,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Bilal Powell,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Christian Powell,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,ShunDerrick Powell,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,D'Vonte Price,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Raheem Mostert,FA,RB,-,-,170.03,-,241.17,-,-,-,-,,,Ques,Knee
T623,Kalel Mullings,TEN,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Latavius Murray,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Lincoln Pare,FA,RB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Cordarrelle Patterson,FA,RB,-,-,170.03,-,-,-,-,-,-,,,,
T623,Jaret Patterson,LAC,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Rashaad Penny,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaden Nixon,GB,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Sone Ntoh,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kene Nwangwu,NYJ,RB,-,-,170.06,-,-,-,-,-,-,,,,
T623,Dare Ogunbowale,FA,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Jaydn Ott,KC,RB,-,-,-,58.77,-,-,-,625.50,-,,,,
T623,A.J. Ouellette,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kejon Owens,FA,RB,-,-,-,-,-,-,-,-,-,,,Ques,Illness
T623,Devine Ozigbo,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Myles Montgomery,NE,RB,-,-,-,-,241.14,-,-,-,-,,,,
T623,Jabari Small,DET,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Wendell Smallwood,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Abram Smith,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Miles Sanders,FA,RB,-,-,170.00,-,241.13,-,554.00,-,-,,,,
T623,Raheim Sanders,CLE,RB,-,-,169.96,-,241.78,-,671.50,-,-,,,,
T623,Mekhi Sargent,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Jacob Saylors,DET,RB,-,-,169.97,-,241.51,-,-,-,-,,,,
T623,Cody Schrader,DEN,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Sam Scott,NYJ,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Stevie Scott,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Zavier Scott,MIN,RB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Trey Sermon,FA,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Clint Ratkovich,FA,RB,-,-,-,-,-,-,506.40,-,-,,,,
T623,Desmond Reid,FA,RB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Craig Reynolds,FA,RB,-,-,169.99,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Demario Richard,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Jalen Richard,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dominic Richardson,DAL,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ronnie Rivers,LAR,RB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Aidan Robbins,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kye Robichaux,DET,RB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,La'Mical Perine,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Deneric Prince,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Trey Ragas,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kairee Robinson,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Keilan Robinson,FA,RB,-,-,169.98,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Jordon Vaughn,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ke'Shawn Vaughn,FA,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,CJ Verdell,FA,RB,-,-,-,-,-,-,-,-,-,,,,
