,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
242,Emanuel Wilson,SEA,RB,215.90,255.10,218.80,,
243,Tua Tagovailoa,ATL,QB,208.70,256.10,356.10,,
244,Dontayvion Wicks,PHI,WR,189.60,257.70,275.30,,
245,Chase McLaughlin,TB,K,-,260.60,258.50,,
246,Cairo Santos,CHI,K,-,262.80,350.30,,
247,Wil Lutz,DEN,K,-,264.10,350.70,,
248,Christian Kirk,SF,WR,215.00,265.60,330.10,Ques,Calf
249,Kendre Miller,NO,RB,-,266.60,376.80,,
250,Jordan James,SF,RB,212.90,267.20,274.50,Ques,Ribs
251,J.J. McCarthy,MIN,QB,215.80,268.40,320.20,,
T252,Marvin Mims,DEN,WR,215.90,269.60,327.90,,
T252,Chimere Dike,TEN,WR,215.70,269.60,214.30,,
254,Jaylin Noel,HOU,WR,214.60,271.10,277.00,NFI-A,Finger
255,Shedeur Sanders,CLE,QB,212.60,272.80,263.50,,
256,Skyler Bell,BUF,WR,215.40,273.90,210.40,,
257,Keenan Allen,FA,WR,207.90,274.70,329.90,,
258,Mike Gesicki,CIN,TE,206.60,275.70,318.00,,
259,Jack Bech,LV,WR,215.40,276.90,242.60,,
260,Kyle Williams,NE,WR,216.00,277.60,244.70,,
261,Justice Hill,BAL,RB,214.20,278.00,368.50,,
262,Michael Penix,ATL,QB,215.20,278.50,228.90,Ques,Knee - ACL
263,Michael Mayer,LV,TE,215.10,280.30,281.80,Ques,Nose
264,Evan Engram,DEN,TE,212.00,281.60,287.00,,
265,Tim Tebow,FA,TE,-,282.00,496.30,,
266,Rex Burkhead,FA,RB,-,283.00,-,,
267,Joey Slye,TEN,K,-,284.00,449.70,,
268,Jake Bobo,SEA,WR,-,285.00,-,Ques,Leg
269,Isaiah Bond,CLE,WR,215.90,288.00,276.70,,
270,Samson Nacua,FA,WR,-,290.50,-,,
271,Tez Johnson,TB,WR,215.90,291.00,285.10,,
272,Kareem Hunt,FA,RB,216.00,292.00,-,,
273,Treylon Burks,WAS,WR,215.90,293.00,435.80,,
274,Brock Rechsteiner,NO,WR,-,294.00,-,,
275,Drew Plitt,FA,QB,-,295.50,-,,
276,Will Levis,TEN,QB,-,296.00,-,,
277,Tahj Brooks,CIN,RB,216.00,297.00,503.40,,
278,Carson Beck,ARI,QB,215.80,298.00,271.60,,
279,Zavion Thomas,CHI,WR,215.60,300.00,319.50,,
280,Joe Mixon,FA,RB,216.00,301.00,364.40,Ques,Foot
281,KaVontae Turpin,DAL,WR,215.90,302.00,461.90,,
282,Jake Elliott,PHI,K,-,304.00,305.90,,
283,DeMario Douglas,NE,WR,215.90,306.00,368.10,,
284,Odell Beckham,NYG,WR,215.90,307.90,412.80,,
285,Chris Brazzell,CAR,WR,215.90,308.00,201.30,IR,Knee
286,Charlie Smyth,NO,K,-,310.50,430.40,,
287,Colt McCoy,FA,QB,-,312.00,-,,
288,Kendrick Bourne,ARI,WR,215.90,313.50,-,,
289,Dan Bailey,FA,K,-,316.50,246.60,,
290,Kerryon Johnson,FA,RB,-,317.00,-,,
291,Adam Randall,BAL,RB,215.80,319.50,231.10,,
292,Philip Rivers,FA,QB,-,320.50,429.50,,
293,Ty Simpson,LAR,QB,216.00,322.10,203.50,,
294,James McCourt,FA,K,-,326.00,294.80,,
295,Najee Harris,FA,RB,215.90,327.50,331.20,Ques,Achilles
296,Malik Davis,DAL,RB,216.00,329.50,471.60,,
297,Michael Trigg,DAL,TE,216.00,330.00,283.70,,
298,Darnell Washington,PIT,TE,214.90,331.80,314.30,,
299,Darius Slayton,NYG,WR,215.60,332.00,431.20,,
300,Brashard Smith,KC,RB,216.00,332.90,286.30,,
301,Samaje Perine,CIN,RB,215.60,334.20,443.40,,
302,Elic Ayomanor,TEN,WR,215.80,335.40,219.00,,
303,Max Klare,LAR,TE,216.00,336.60,240.90,,
304,Montrell Washington,FA,WR,-,337.00,-,,
305,Brenen Thompson,LAC,WR,215.70,338.50,242.40,,
306,Devaughn Vele,NO,WR,215.00,339.30,344.00,,
307,Tyquan Thornton,KC,WR,209.80,340.90,333.00,,
308,Oscar Delp,NO,TE,215.90,341.20,272.00,,
309,Caleb Douglas,MIA,WR,214.80,341.70,326.90,,
310,Cole Kmet,CHI,TE,215.90,344.80,339.70,,
311,Tyler Bass,BUF,K,-,345.30,256.90,,
312,Trey Smack,GB,K,-,346.80,310.00,,
313,Taysom Hill,FA,TE,216.00,347.00,533.00,,
314,Eli Heidenreich,PIT,RB,216.00,348.20,322.60,,
315,George Holani,SEA,RB,212.50,349.70,353.00,,
316,Isaiah Davis,NYJ,RB,215.70,350.10,338.70,,
317,Quinn Nordin,FA,K,-,352.00,347.70,,
318,Malik Benson,LV,WR,216.00,353.00,362.30,,
319,Eli Raridon,NE,TE,215.50,354.80,269.90,,
320,Mason Taylor,NYJ,TE,215.90,355.90,159.20,,
321,Andrew Mevis,FA,K,-,356.50,298.70,,
322,Audric Estime,NO,RB,-,358.10,564.50,,
323,LeQuint Allen,JAX,RB,215.70,359.50,336.40,,
324,Jarquez Hunter,LAR,RB,216.00,359.60,480.00,,
325,DJ Giddens,IND,RB,215.00,361.50,280.80,,
326,Justin Joly,DEN,TE,215.90,362.80,323.30,,
327,Mac Jones,SF,QB,216.00,363.00,426.80,,
328,Andrei Iosivas,CIN,WR,215.10,364.10,372.20,,
329,Anthony Richardson,IND,QB,216.00,365.50,375.50,,
330,Emari Demercado,KC,RB,215.90,366.50,493.70,,
331,Kenny Pickett,CAR,QB,-,367.50,416.80,,
332,Justin Fields,KC,QB,215.90,368.00,483.60,,
333,Demarcus Robinson,SF,WR,216.00,369.00,-,,
334,Drew Allar,PIT,QB,-,370.50,334.30,,
335,Mack Hollins,NE,WR,216.00,371.00,-,,
336,Kyle Allen,BUF,QB,216.00,372.00,-,,
337,Chris Brooks,GB,RB,216.00,373.50,433.90,NFI-A,Hamstring
338,Kirk Cousins,LV,QB,214.80,374.00,363.30,,
339,Deshaun Watson,CLE,QB,215.30,375.80,374.20,,
340,Xavier Legette,CAR,WR,214.90,376.50,287.30,,
T341,Roman Hemby,LV,RB,-,377.50,377.90,,
T341,Devin Neal,NO,RB,216.00,377.50,234.00,,
343,Jahan Dotson,ATL,WR,215.80,379.50,367.40,,
344,Ja'Tavion Sanders,CAR,TE,215.80,380.50,335.50,,
345,Ollie Gordon,MIA,RB,215.90,381.00,229.40,,
346,Deion Burks,IND,WR,216.00,382.00,340.00,,
347,Roman Wilson,PIT,WR,215.80,383.50,387.00,,
348,Ben Sinnott,WAS,TE,216.00,384.50,343.00,,
349,Jalin Hyatt,NYG,WR,-,385.00,527.30,,
T350,Josh Imatorbhebhe,FA,WR,-,-,-,,
T350,Van Jefferson,WAS,WR,216.00,-,-,,
T350,Jaray Jenkins,FA,WR,-,-,-,,
T350,Tyler Johnson,DAL,WR,-,-,-,,
T350,Willie Johnson,FA,WR,-,-,-,,
T350,Xavier Johnson,CIN,WR,-,-,-,,
T350,Jontre Kirklin,FA,WR,-,-,-,,
T350,Keith Kirkwood,FA,WR,-,-,-,,
T350,Shaleak Knotts,FA,WR,-,-,-,,
T350,Malik Knowles,FA,WR,-,-,-,,
T350,Aaron Lacombe,FA,WR,-,-,-,,
T350,Caullin Lacy,NYJ,WR,-,-,-,,
T350,Chris Lacy,FA,WR,-,-,-,,
T350,Montana Lemonious-Craig,FA,WR,-,-,-,Ques,Lower Body
T350,Landon Lenoir,FA,WR,-,-,-,,
T350,Brandon Lewis,FA,WR,-,-,-,,
T350,Talolo Limu-Jones,FA,WR,-,-,-,,
T350,Henry Litwin,FA,WR,-,-,-,,
T350,Johnathan Lloyd,FA,WR,-,-,-,,
T350,Tyler Lockett,FA,WR,-,-,-,,
T350,Justin Lockhart,FA,WR,-,-,-,,
T350,Kai Locksley,FA,WR,-,-,-,,
T350,Dominic Lovett,DET,WR,-,-,-,,
T350,Xavier Loyd,KC,WR,-,-,-,,
T350,Taysir Mack,FA,WR,-,-,-,,
T350,Ja'Mori Maclin,BUF,WR,-,-,-,,
T350,Joseph Manjack,DEN,WR,-,-,-,,
T350,Zimari Manning,FA,WR,-,-,-,,
T350,Keelan Marion,ATL,WR,-,-,-,,
T350,Gabe Marks,FA,WR,-,-,-,,
T350,Terrace Marshall,MIA,WR,-,-,-,,
T350,Tay Martin,DET,WR,-,-,-,,
T350,Tyreik McAllister,FA,WR,-,-,-,,
T350,Luke McCaffrey,WAS,WR,215.90,-,465.40,,
T350,Malik McClain,NYJ,WR,-,-,-,,
T350,Ray-Ray McCloud,FA,WR,-,-,-,,
T350,Jonathan Mingo,DAL,WR,-,-,547.00,,
T350,John Metchie,CAR,WR,216.00,-,539.00,,
T350,Dohnte Meyers,CIN,WR,-,-,-,,
T350,Anthony Miller,FA,WR,-,-,-,,
T350,Dorren Miller,FA,WR,-,-,-,,
T350,Dre Miller,FA,WR,-,-,-,,
T350,Ryan Miller,NYG,WR,-,-,-,,
T350,Scotty Miller,CHI,WR,-,-,-,,
T350,Denzel Mims,DAL,WR,-,-,-,,
T350,Elijah Moore,PHI,WR,-,-,-,,
T350,Jason Moore,FA,WR,-,-,-,,
