,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Kendall Williamson,LAC,S,-,-,-,Ques,Ankle
T350,Donovan Wilson,FA,S,-,-,-,,
T350,Antoine Winfield,TB,S,-,-,-,,
T350,Andrew Wingard,ARI,S,-,-,-,,
T350,Kevin Winston,TEN,S,-,-,-,,
T350,Rashad Wisdom,TB,S,-,-,-,,
T350,Cole Wisniewski,PHI,S,-,-,-,Ques,Hamstring
T350,Hunter Wohler,IND,S,-,-,-,Ques,Foot
T350,Julius Wood,DAL,S,-,-,-,,
T350,Xavier Woods,FA,S,-,-,-,,
T350,Craig Woodson,NE,S,-,-,-,,
T350,Daryl Worley,FA,S,-,-,-,,
T350,Russ Yeast,CIN,S,-,-,-,,
T350,Nate Adkins,DEN,TE,-,-,-,,
T350,Jordan Akins,FA,TE,-,-,-,,
T350,Mo Alie-Cox,IND,TE,-,-,-,,
T350,Erick All,CIN,TE,215.50,-,498.40,,
T350,Chase Allen,FA,TE,-,-,-,,
T350,Davis Allen,LAR,TE,-,-,-,Ques,Quadriceps
T350,Stephen Anderson,FA,TE,-,-,-,,
T350,Lujuan Winningham,FA,WR,-,-,-,,
T350,Easop Winston,FA,WR,-,-,-,,
T350,Isaiah Wooden,FA,WR,-,-,-,,
T350,Michael Woods,FA,WR,-,-,-,Ques,Leg
T350,Robert Woods,LAR,WR,-,-,-,Reserve-Ret,Undisclosed
T350,Michael Wortham,JAX,WR,-,-,-,,
T350,Malik Williams,FA,WR,-,-,-,,
T350,Mario Williams,LAR,WR,-,-,-,,
T350,Mike Williams,LAC,WR,-,-,-,Reserve-Ex,Undisclosed
T350,Savion Williams,GB,WR,215.90,-,491.20,,
T350,Seth Williams,FA,WR,-,-,-,,
T350,Cedrick Wilson,DET,WR,-,-,-,,
T350,Luke Wysong,FA,WR,-,-,-,Ques,Undisclosed
T350,Colbie Young,CIN,WR,216.00,-,538.80,,
T350,Dareke Young,LV,WR,-,-,-,,
T350,Michael Young,FA,WR,-,-,-,,
T350,Olamide Zaccheaus,ATL,WR,216.00,-,543.50,,
T350,Ishmael Zamora,FA,WR,-,-,-,,
T350,Jalen Virgil,FA,WR,-,-,-,Ques,Undisclosed
T350,Reggie Virgil,ARI,WR,-,-,561.00,,
T350,Tahj Washington,MIA,WR,-,-,-,,
T350,Austin Watkins,FA,WR,-,-,-,,
T350,Jordan Watkins,SF,WR,216.00,-,-,,
T350,Quez Watkins,PHI,WR,-,-,-,,
T350,Sammy Watkins,FA,WR,-,-,-,,
T350,Kristian Wilkerson,FA,WR,-,-,-,,
T350,Ke'Shawn Williams,CIN,WR,-,-,-,,
T350,Avery Williams,FA,WR,-,-,-,,
T350,C.J. Williams,JAX,WR,-,-,-,,
T350,Devon Williams,FA,WR,-,-,-,,
T350,E.J. Williams,LV,WR,-,-,-,,
T350,Isaiah Williams,NYJ,WR,216.00,-,-,,
T350,Johnny Wilson,PHI,WR,-,-,-,,
T350,Kole Wilson,CLE,WR,-,-,-,,
T350,Jamari Thrash,CLE,WR,-,-,-,,
T350,Cedric Tillman,CLE,WR,-,-,467.90,,
T350,Mitchell Tinsley,CIN,WR,216.00,-,-,,
T350,Mason Tipton,NO,WR,216.00,-,-,PUP-P,Leg
T350,Travis Toivonen,FA,WR,-,-,-,,
T350,Jalen Tolbert,MIA,WR,215.50,-,494.10,,
T350,Max Tomczak,BUF,WR,-,-,-,,
T350,Kadarius Toney,FA,WR,-,-,-,,
T350,Samori Toure,PHI,WR,-,-,-,,
T350,Austin Trammell,JAX,WR,-,-,-,,
T350,Laquon Treadwell,IND,WR,-,-,-,,
T350,Brycen Tremayne,CAR,WR,-,-,-,,
T350,Bryan Thompson,FA,WR,-,-,-,,
T350,Cody Thompson,FA,WR,-,-,-,,
T350,Keytaon Thompson,FA,WR,-,-,-,,
T350,Dont'e Thornton,LV,WR,216.00,-,345.30,,
T350,Michael Thomas,FA,WR,-,-,-,,
T350,Noah Thomas,CIN,WR,-,-,485.70,,
T350,Noel Thomas,FA,WR,-,-,-,,
T350,Adam Thielen,MIN,WR,-,-,-,Reserve-Ret,Undisclosed
T350,Golden Tate,FA,WR,-,-,-,,
T350,Malik Taylor,FA,WR,-,-,-,,
T350,Trent Taylor,FA,WR,-,-,-,,
T350,Damore'ea Stringfellow,FA,WR,-,-,-,,
T350,J. Michael Sturdivant,GB,WR,-,-,-,,
T350,Justin Sumpter,FA,WR,-,-,-,,
T350,Corey Sutton,FA,WR,-,-,-,,
T350,Equanimeous St. Brown,FA,WR,-,-,-,Ques,Foot
T350,Jerreth Sterns,FA,WR,-,-,-,,
T350,Dillon Stoner,FA,WR,-,-,-,,
T350,Drake Stoops,FA,WR,-,-,-,,
T350,Mike Strachan,FA,WR,-,-,460.50,,
T350,Deven Thompkins,LV,WR,-,-,-,,
T350,Xavier Ubosi,FA,WR,-,-,-,,
T350,Marquez Valdes-Scantling,DAL,WR,216.00,-,-,,
T350,DJ Turner,HOU,WR,-,-,-,,
T350,Malik Turner,SF,WR,-,-,-,,
T350,Tre Turner,FA,WR,-,-,-,,
T350,Dayton Wade,BAL,WR,-,-,-,,
T350,Derel Walker,FA,WR,-,-,-,,
T350,Devontez Walker,BAL,WR,215.80,-,514.00,,
T350,Jahdae Walker,CHI,WR,216.00,-,381.00,,
T350,Joe Walker,FA,WR,-,-,-,,
T350,Harrison Wallace,ARI,WR,-,-,-,,
T350,Tylan Wallace,CLE,WR,-,-,-,,
T350,Jalen Walthall,NYJ,WR,-,-,-,IR,Undisclosed
T350,Casey Washington,CAR,WR,-,-,-,,
T350,James Washington,FA,WR,-,-,-,,
T350,Justin Watson,HOU,WR,-,-,-,,
T350,Jamarius Way,FA,WR,-,-,-,,
T350,Jared Wayne,HOU,WR,-,-,-,,
T350,Theo Wease,MIA,WR,216.00,-,385.00,,
T350,Xavier Weaver,ARI,WR,-,-,-,,
T350,Jeremiah Webb,NE,WR,-,-,-,IR,Arm
T350,Joe Webb,FA,WR,-,-,-,,
T350,Raleigh Webb,FA,WR,-,-,-,,
T350,Nsimba Webster,FA,WR,-,-,-,,
T350,Connor Wedington,FA,WR,-,-,-,,
T350,Juice Wells,ATL,WR,-,-,-,,
T350,Levi Wentz,PIT,WR,-,-,-,,
T350,Nick Westbrook-Ikhine,IND,WR,216.00,-,-,,
T350,LaJohntay Wester,BAL,WR,-,-,-,,
T350,Isaiah Weston,FA,WR,-,-,-,,
T350,Kaden Wetjen,PIT,WR,-,-,499.50,,
T350,Keric Wheatfall,FA,WR,-,-,-,,
T350,Cody White,SEA,WR,-,-,-,,
T350,Kevin White,FA,WR,-,-,-,,
T350,Papi White,FA,WR,-,-,-,,
T350,Ricky White,SEA,WR,-,-,-,,
T350,Squirrel White,CHI,WR,-,-,-,Reserve-Ret,Undisclosed
T350,Jordan Whittington,LAR,WR,216.00,-,509.50,,
T350,Derrick Gore,FA,RB,-,-,-,,
T350,Frank Gore,BUF,RB,-,-,-,,
T350,Eric Gray,NYG,RB,-,-,-,,
T350,Isaac Guerendo,SF,RB,216.00,-,436.90,PUP-P,Pectoral
T350,Anthony Hankerson,MIA,RB,-,-,544.80,,
T350,Deion Hankins,FA,RB,-,-,-,,
T350,TJ Harden,FA,RB,-,-,-,,
T350,JaQuan Hardy,FA,RB,-,-,-,,
T350,Kevin Harris,FA,RB,-,-,-,,
T350,Darrell Henderson,FA,RB,-,-,-,,
T350,Hassan Hall,FA,RB,-,-,-,,
T350,Hassan Haskins,FA,RB,-,-,-,,
T350,JaMycal Hasty,FA,RB,-,-,-,,
T350,Jamal Haynes,CIN,RB,-,-,-,,
T350,Caleb Huntley,FA,RB,-,-,-,,
T350,Carlos Hyde,FA,RB,-,-,-,,
T350,Mohamed Ibrahim,FA,RB,-,-,-,,
T350,Godwin Igwebuike,FA,RB,-,-,-,,
T350,Keaontay Ingram,FA,RB,-,-,-,,
T350,Darnell Holland,FA,RB,-,-,-,,
T350,Travis Homer,PIT,RB,-,-,-,,
T350,Jordan Howard,FA,RB,-,-,-,,
T350,Nyheim Hines,FA,RB,-,-,-,,
T350,Robert Henry,WAS,RB,-,-,469.10,,
T350,Khalil Herbert,SF,RB,216.00,-,407.00,,
T350,Brian Hill,FA,RB,-,-,-,,
T350,Greg Desrosiers,LAC,RB,-,-,-,,
T350,AJ Dillon,CAR,RB,-,-,-,,
T350,Tyrion Davis-Price,FA,RB,-,-,-,,
T350,Synjyn Days,FA,RB,-,-,-,,
T350,CJ Donaldson,NO,RB,-,-,445.90,,
T350,Elijah Dotson,FA,RB,-,-,-,,
T350,Kenyan Drake,FA,RB,-,-,-,,
T350,Mataeo Durant,FA,RB,-,-,-,,
T350,Trestan Ebner,FA,RB,-,-,-,,
T350,Chase Edmonds,FA,RB,-,-,-,,
T350,Donovan Edwards,MIA,RB,-,-,-,,
T350,Gus Edwards,FA,RB,-,-,-,,
T350,Clyde Edwards-Helaire,FA,RB,-,-,-,,
T350,Austin Ekeler,FA,RB,-,-,-,,
T350,Ezekiel Elliott,FA,RB,-,-,-,,
T350,BJ Emmons,FA,RB,-,-,-,,
T350,Tyler Goodson,ATL,RB,-,-,-,,
T350,Melvin Gordon,FA,RB,-,-,-,,
T350,Antonio Gibson,FA,RB,-,-,-,Ques,Knee - ACL
T350,Wayne Gallman,FA,RB,-,-,-,,
T350,Ja'Quan Gardner,FA,RB,-,-,-,,
T350,Myles Gaskin,FA,RB,-,-,-,,
T350,Trevor Etienne,CAR,RB,216.00,-,358.40,,
T350,Darrynton Evans,FA,RB,-,-,-,,
T350,Tiyon Evans,FA,RB,-,-,-,,
T350,Zach Evans,FA,RB,-,-,-,,
T350,Tavien Feaster,FA,RB,-,-,-,,
T350,Tayon Fleet-Davis,FA,RB,-,-,-,,
T350,Jerome Ford,WAS,RB,-,-,401.00,,
T350,D'Onta Foreman,FA,RB,-,-,-,,
T350,Leonard Fournette,FA,RB,-,-,-,,
T350,Jake Funk,FA,RB,-,-,-,,
T350,Ulysses Bentley,IND,RB,-,-,-,,
T350,Tony Brooks-James,FA,RB,-,-,380.00,,
T350,Brittain Brown,CHI,RB,-,-,-,,
T350,Kennedy Brooks,FA,RB,-,-,-,,
T350,Mike Boone,FA,RB,-,-,-,,
T350,Davon Booth,CLE,RB,-,-,485.80,,
T350,Max Borghi,FA,RB,-,-,-,,
T350,Isaiah Bowser,FA,RB,-,-,391.00,,
T350,Gary Brightwell,CIN,RB,-,-,-,,
T350,British Brooks,HOU,RB,-,-,-,,
T350,Raheem Blackshear,FA,RB,-,-,-,,
T350,Khari Blasingame,FA,RB,-,-,-,,
T350,Kazmeir Allen,FA,RB,-,-,-,,
T350,Hajj-Malik Williams,FA,QB,-,-,-,,
T350,Salvon Ahmed,CHI,RB,216.00,-,-,,
T350,Cam Akers,FA,RB,-,-,-,,
T350,Rasheen Ali,BAL,RB,216.00,-,542.00,,
T350,Sherman Badie,FA,RB,-,-,-,,
T350,Tyler Badie,DEN,RB,-,-,-,,
T350,Emani Bailey,FA,RB,-,-,-,,
T350,Kalen Ballage,FA,RB,-,-,-,,
T350,Damon Bankston,NYG,RB,-,-,-,,
T350,Peyton Barber,FA,RB,-,-,-,,
T350,B.J. Baylor,FA,RB,-,-,-,,
T350,Greg Bell,FA,RB,-,-,-,,
T350,Coleman Bennett,CHI,RB,-,-,-,,
T350,Miles Davis,CAR,RB,-,-,-,,
T350,DeeJay Dallas,JAX,RB,-,-,-,,
T350,Damarea Crockett,FA,RB,-,-,-,,
T350,Jashaun Corbin,FA,RB,-,-,-,,
T350,Snoop Conner,FA,RB,-,-,-,,
T350,Dean Connors,LAR,RB,-,-,451.50,,
T350,Dalvin Cook,FA,RB,-,-,-,,
T350,Chris Collier,LV,RB,-,-,-,IR,Undisclosed
T350,Julius Chestnut,TEN,RB,-,-,-,,
T350,Nick Chubb,FA,RB,216.00,-,-,,
T350,James Butler,FA,RB,-,-,-,,
T350,Josh Caldwell,FA,RB,-,-,-,,
T350,Kadarius Calloway,TB,RB,-,-,-,,
T350,Trenton Cannon,FA,RB,-,-,-,,
T350,Michael Carter,TEN,RB,-,-,-,,
T350,Nathan Carter,ATL,RB,-,-,-,,
T350,Anderson Castle,IND,RB,-,-,-,,
T350,Ty Chandler,NO,RB,-,-,414.00,,
T350,Corey Clement,FA,RB,-,-,-,,
T350,Toriano Clinton,FA,RB,-,-,-,,
T350,Tarik Cohen,FA,RB,-,-,-,,
T350,Matt Colburn,FA,RB,-,-,-,,
T350,Leddie Brown,FA,RB,-,-,-,,
T350,Malcolm Brown,FA,RB,-,-,-,,
T350,Kentrel Bullock,CIN,RB,-,-,-,,
T350,Lew Nichols,PIT,RB,-,-,-,,
T350,Jaden Nixon,GB,RB,-,-,563.00,,
T350,Sone Ntoh,FA,RB,-,-,-,,
T350,Kene Nwangwu,NYJ,RB,-,-,-,,
T350,Dare Ogunbowale,FA,RB,-,-,-,,
T350,Jaydn Ott,KC,RB,-,-,-,,
T350,A.J. Ouellette,FA,RB,-,-,-,,
T350,Kejon Owens,FA,RB,-,-,475.50,Ques,Illness
T350,Devine Ozigbo,FA,RB,-,-,-,,
T350,Myles Montgomery,NE,RB,-,-,-,,
T350,Ty Montgomery,FA,RB,-,-,-,,
T350,Le'Veon Moss,MIA,RB,-,-,337.00,Reserve-Ret,Undisclosed
T350,Zack Moss,FA,RB,-,-,-,Ques,Neck
T350,Raheem Mostert,FA,RB,-,-,-,Ques,Knee
T350,Kalel Mullings,TEN,RB,-,-,-,,
T350,Latavius Murray,FA,RB,-,-,-,,
T350,Ricky Person,FA,RB,-,-,-,,
T350,Scottie Phillips,FA,RB,-,-,-,,
T350,Artavis Pierce,FA,RB,-,-,-,,
T350,Dameon Pierce,PHI,RB,-,-,-,,
T350,Josh Pitsenberger,HOU,RB,-,-,-,,
T350,Sandro Platzgummer,FA,RB,-,-,-,,
T350,Lincoln Pare,FA,RB,-,-,-,Ques,Undisclosed
T350,Cordarrelle Patterson,FA,RB,-,-,-,,
T350,Jaret Patterson,LAC,RB,-,-,-,,
T350,Rashaad Penny,FA,RB,-,-,-,,
T350,Camerun Peoples,FA,RB,-,-,-,,
T350,La'Mical Perine,FA,RB,-,-,-,,
T350,Clint Ratkovich,FA,RB,-,-,-,,
T350,Desmond Reid,FA,RB,-,-,468.00,Ques,Undisclosed
T350,Craig Reynolds,FA,RB,-,-,-,Ques,Undisclosed
T350,Demario Richard,FA,RB,-,-,-,,
T350,Jalen Richard,FA,RB,-,-,-,,
T350,Dominic Richardson,DAL,RB,-,-,-,,
T350,Ronnie Rivers,LAR,RB,-,-,-,,
T350,Aidan Robbins,FA,RB,-,-,-,,
T350,Kye Robichaux,DET,RB,-,-,-,Ques,Undisclosed
T350,EJ Smith,KC,RB,-,-,-,,
T350,Ito Smith,FA,RB,-,-,-,,
T350,Rodney Smith,FA,RB,-,-,-,,
T350,Benny Snell,FA,RB,-,-,-,,
T350,Isaiah Spiller,FA,RB,-,-,-,,
T350,Darren Sproles,FA,RB,-,-,-,,
T350,William Stanback,FA,RB,-,-,-,,
T350,Carson Steele,PHI,RB,-,-,-,,
T350,A.J. Rose,FA,RB,-,-,-,,
T350,Deneric Prince,FA,RB,-,-,-,,
T350,Trey Ragas,FA,RB,-,-,-,,
T350,Jabari Small,DET,RB,-,-,392.00,,
T350,Wendell Smallwood,FA,RB,-,-,-,,
T350,Abram Smith,FA,RB,-,-,-,,
T350,Miles Sanders,FA,RB,-,-,-,,
T350,Raheim Sanders,CLE,RB,216.00,-,541.50,,
T350,Mekhi Sargent,FA,RB,-,-,-,,
T350,Jacob Saylors,DET,RB,-,-,-,,
T350,Cody Schrader,DEN,RB,-,-,-,,
T350,Sam Scott,NYJ,RB,-,-,-,,
T350,Stevie Scott,FA,RB,-,-,-,,
T350,Zavier Scott,MIN,RB,-,-,-,,
T350,Trey Sermon,FA,RB,-,-,-,,
T350,Aaron Shampklin,FA,RB,-,-,-,,
T350,Will Shipley,PHI,RB,216.00,-,418.50,,
T350,Devin Singletary,NYG,RB,-,-,-,,
T350,Kairee Robinson,FA,RB,-,-,-,,
T350,Keilan Robinson,FA,RB,-,-,-,Ques,Undisclosed
T350,Bilal Powell,FA,RB,-,-,-,,
T350,Christian Powell,FA,RB,-,-,-,,
T350,ShunDerrick Powell,FA,RB,-,-,-,,
T350,D'Vonte Price,FA,RB,-,-,-,,
T350,Montrell Johnson,FA,RB,-,-,-,Ques,Undisclosed
T350,Roschon Johnson,CHI,RB,-,-,-,,
T350,Ty Johnson,BUF,RB,215.70,-,487.40,,
T350,Jermar Jefferson,FA,RB,-,-,-,,
T350,Terrell Jennings,NE,RB,-,-,552.50,,
T350,Amar Johnson,LAC,RB,-,-,-,,
T350,D'Ernest Johnson,FA,RB,-,-,-,,
T350,Evan Hull,ARI,RB,-,-,-,,
T350,Deon Jackson,FA,RB,-,-,-,,
T350,Devontae Jackson,FA,RB,-,-,-,,
T350,Ja'Quinden Jackson,FA,RB,-,-,-,,
T350,Isaiah Jacobs,FA,RB,-,-,-,,
T350,Joshua Kelley,FA,RB,-,-,-,,
T350,John Kelly,FA,RB,-,-,-,,
T350,Jacob Kibodi,FA,RB,-,-,-,,
T350,Corey Kiner,ARI,RB,-,-,-,,
T350,Bam Knight,ARI,RB,-,-,-,,
T350,Brenden Knox,FA,RB,-,-,-,,
T350,Bryant Koback,FA,RB,-,-,-,,
T350,Lan Larison,NE,RB,-,-,399.00,,
T350,Dylan Laube,LV,RB,-,-,-,,
T350,Ray Lawry,FA,RB,-,-,-,,
T350,Dion Lewis,FA,RB,-,-,-,,
T350,Phillip Lindsay,FA,RB,-,-,-,,
T350,Austin Jones,FA,RB,-,-,-,,
T350,Cash Jones,ATL,RB,-,-,-,,
T350,Ronald Jones,FA,RB,-,-,-,,
T350,Shermari Jones,FA,RB,-,-,-,,
T350,Taiwan Jones,FA,RB,-,-,-,,
T350,Tony Jones,FA,RB,-,-,-,,
T350,Velus Jones,SEA,RB,-,-,-,,
T350,Jawhar Jordan,HOU,RB,-,-,397.00,,
T350,Dedrick Mills,FA,RB,-,-,-,,
T350,Kendall Milton,CIN,RB,-,-,-,,
T350,Jordan Mims,MIN,RB,-,-,-,,
T350,Elijah Mitchell,PHI,RB,216.00,-,-,,
T350,Ahmani Marshall,CLE,RB,-,-,-,,
T350,Damien Martinez,GB,RB,-,-,-,,
T350,Alexander Mattison,FA,RB,-,-,-,,
T350,DeWayne McBride,FA,RB,-,-,-,,
T350,John Lovett,FA,RB,-,-,-,,
T350,Phil Mafah,DAL,RB,216.00,-,458.30,,
T350,CJ Marable,FA,RB,-,-,-,,
T350,Kevin Marks,FA,RB,-,-,-,,
T350,Jase McClellan,FA,RB,-,-,-,,
T350,Sincere McCormick,SF,RB,-,-,-,,
T350,Nate McCrary,FA,RB,-,-,-,,
T350,Seth McGowan,IND,RB,216.00,-,341.70,,
T350,Taj McGowan,FA,RB,-,-,-,,
T350,Kenny McIntosh,FA,RB,-,-,-,,
T350,Jerick McKinnon,FA,RB,-,-,-,,
T350,Jaleel McLaughlin,DEN,RB,-,-,-,,
T350,Dontae McMillan,BAL,RB,-,-,-,,
T350,Travon McMillian,FA,RB,-,-,-,,
T350,Jeremy McNichols,WAS,RB,-,-,-,,
T350,Kirk Merritt,FA,RB,-,-,-,,
T350,Ellis Merriweather,FA,RB,-,-,-,,
T350,Sony Michel,FA,RB,-,-,-,,
T350,Dante Miller,NYG,RB,-,-,-,,
T350,Jam Miller,NE,RB,216.00,-,328.10,,
T350,Carson Wentz,MIN,QB,-,-,-,,
T350,Mike White,FA,QB,-,-,-,,
T350,E.J. Warner,FA,QB,-,-,-,,
T350,Bailey Zappe,NYJ,QB,-,-,-,,
T350,Israel Abanikanda,DAL,RB,-,-,530.30,,
T350,Ameer Abdullah,JAX,RB,-,-,-,,
T350,Khalid Abdullah,FA,RB,-,-,-,,
T350,Ryan Willis,FA,QB,-,-,-,,
T350,Russell Wilson,FA,QB,-,-,-,,
T350,Zach Wilson,NO,QB,-,-,-,,
T350,Dresser Winn,FA,QB,-,-,-,,
T350,Jameis Winston,NYG,QB,216.00,-,512.80,,
T350,John Wolford,FA,QB,-,-,-,,
T350,Logan Woodside,FA,QB,-,-,-,,
T350,Ben Wooldridge,FA,QB,-,-,-,,
T350,Kedon Slovis,ARI,QB,-,-,-,,
T350,Trevor Siemian,FA,QB,-,-,-,Ques,Undisclosed
T350,Brandon Silvers,FA,QB,-,-,-,,
T350,J'Mar Smith,FA,QB,-,-,-,,
T350,Brendan Sorsby,FA,QB,-,-,-,,
T350,Nate Sudfeld,FA,QB,-,-,-,,
T350,Taulia Tagovailoa,FA,QB,-,-,-,,
T350,Ryan Tannehill,FA,QB,-,-,-,,
T350,Tyrod Taylor,GB,QB,-,-,508.50,,
T350,Vincent Testaverde,FA,QB,-,-,-,,
T350,Skylar Thompson,BAL,QB,-,-,-,,
T350,Dorian Thompson-Robinson,FA,QB,-,-,-,,
T350,Payton Thorne,FA,QB,-,-,-,,
T350,Nick Tiano,FA,QB,-,-,-,,
T350,Kyle Trask,FA,QB,-,-,-,,
T350,Jordan Travis,FA,QB,-,-,-,,
T350,Mitchell Trubisky,TEN,QB,-,-,-,,
T350,Clayton Tune,FA,QB,-,-,-,,
T350,DJ Uiagalelei,LAC,QB,-,-,-,,
T350,Jack Plummer,FA,QB,-,-,-,,
T350,Michael Pratt,FA,QB,-,-,-,,
T350,Luis Perez,FA,QB,-,-,-,,
T350,E.J. Perry,FA,QB,-,-,-,,
T350,Nathan Peterman,FA,QB,-,-,421.00,,
T350,Brandon Peters,FA,QB,-,-,-,,
T350,Desmond Ridder,FA,QB,-,-,-,,
T350,Peter Pujals,FA,QB,-,-,-,,
T350,Spencer Rattler,NO,QB,216.00,-,-,,
T350,Austin Reed,FA,QB,-,-,-,,
T350,Jake Retzlaff,FA,QB,-,-,-,,
T350,Brogan Roback,FA,QB,-,-,-,,
T350,Sawyer Robertson,FA,QB,-,-,-,,
T350,Spencer Sanders,FA,QB,-,-,386.00,,
T350,Kurtis Rourke,SF,QB,-,-,-,,
T350,Nathan Rourke,FA,QB,-,-,-,,
T350,Mason Rudolph,PIT,QB,216.00,-,-,,
T350,Cooper Rush,ATL,QB,216.00,-,-,,
T350,Broc Rutter,FA,QB,-,-,-,,
T350,Brett Rypien,FA,QB,-,-,-,,
T350,Nate Stanley,FA,QB,-,-,-,,
T350,Joel Stave,FA,QB,-,-,-,,
T350,Tommy Stevens,FA,QB,-,-,-,,
T350,Easton Stick,IND,QB,-,-,-,,
T350,Jarrett Stidham,DEN,QB,-,-,-,,
T350,Cole Stoudt,FA,QB,-,-,-,,
T350,Jack Strand,ATL,QB,216.00,-,494.50,,
T350,Chris Streveler,FA,QB,-,-,-,,
T350,Carson Strong,FA,QB,-,-,-,,
T350,Austin Allen,FA,QB,-,-,-,,
T350,Brandon Allen,NYG,QB,-,-,-,,
T350,Michael Hiers,FA,QB,-,-,-,,
T350,Hendon Hooker,TEN,QB,-,-,-,,
T350,Will Howard,PIT,QB,-,-,359.20,,
T350,Sam Howell,DAL,QB,-,-,-,,
T350,Brian Hoyer,FA,QB,-,-,-,,
T350,Tyler Huntley,BAL,QB,-,-,-,,
T350,Anthony Gordon,FA,QB,-,-,-,,
T350,Taylen Green,CLE,QB,216.00,-,502.00,,
T350,Will Grier,CAR,QB,-,-,-,Reserve-Ret,Undisclosed
T350,Mark Gronowski,MIA,QB,-,-,-,,
T350,Jarrett Guarantano,FA,QB,-,-,-,,
T350,Jake Haener,FA,QB,-,-,382.00,,
T350,Jaren Hall,FA,QB,-,-,-,,
T350,Gavin Hardison,FA,QB,-,-,-,,
T350,Felix Harper,FA,QB,-,-,-,,
T350,Sam Hartman,WAS,QB,-,-,-,,
T350,Taylor Heinicke,FA,QB,-,-,-,,
T350,Seth Henigan,FA,QB,-,-,-,,
T350,Chad Henne,FA,QB,-,-,-,,
T350,Athan Kaliakmanis,WAS,QB,-,-,-,,
T350,Case Keenum,CHI,QB,-,-,-,,
T350,Cole Kelley,FA,QB,-,-,-,,
T350,Chad Kelly,FA,QB,-,-,-,,
T350,D'Eriq King,FA,QB,-,-,-,,
T350,Haynes King,CAR,QB,-,-,-,,
T350,Cade Klubnik,NYJ,QB,216.00,-,357.60,,
T350,Trey Lance,LAC,QB,-,-,-,,
T350,Kyle Lauletta,FA,QB,-,-,-,,
T350,Emory Jones,FA,QB,-,-,-,,
T350,Josh Johnson,CIN,QB,-,-,-,,
T350,Devin Leary,FA,QB,-,-,-,,
T350,Mitch Leidner,FA,QB,-,-,-,,
T350,Riley Leonard,IND,QB,-,-,455.60,,
T350,Tanner McKee,PHI,QB,-,-,520.00,,
T350,Trace McSorley,FA,QB,-,-,-,,
T350,Jamie Newman,FA,QB,-,-,-,,
T350,Kyle McCord,GB,QB,-,-,-,,
T350,Garrett Nussmeier,KC,QB,-,-,373.80,,
T350,Aidan O'Connell,LV,QB,216.00,-,-,,
T350,Chris Oladokun,KC,QB,-,-,-,,
T350,Shea Patterson,FA,QB,-,-,-,,
T350,Diego Pavia,FA,QB,-,-,524.00,,
T350,Cole Payton,PHI,QB,-,-,559.00,,
T350,Andrew Peasley,FA,QB,-,-,516.00,,
T350,Brian Lewerke,FA,QB,-,-,-,,
T350,Levi Lewis,FA,QB,-,-,-,,
T350,Chase Litton,FA,QB,-,-,-,,
T350,Sefo Liufau,FA,QB,-,-,-,,
T350,Drew Lock,SEA,QB,-,-,-,,
T350,Rocky Lombardi,FA,QB,-,-,-,,
T350,Josh Love,FA,QB,-,-,-,,
T350,Marcus Mariota,WAS,QB,216.00,-,546.50,,
T350,Adrian Martinez,SF,QB,-,-,-,,
T350,Graham Mertz,HOU,QB,-,-,-,,
T350,Cam Miller,MIA,QB,-,-,-,,
T350,Davis Mills,HOU,QB,216.00,-,-,,
T350,Jalen Milroe,SEA,QB,216.00,-,321.90,,
T350,Joe Milton,DAL,QB,216.00,-,454.60,,
T350,Gardner Minshew,ARI,QB,-,-,-,,
T350,Kellen Mond,FA,QB,-,-,-,,
T350,Tanner Mordecai,FA,QB,-,-,-,,
T350,Chandler Morris,FA,QB,-,-,-,,
T350,Behren Morton,NE,QB,-,-,-,,
T350,Jalen Morton,FA,QB,-,-,-,,
T350,Miller Moss,CHI,QB,-,-,-,,
T350,Nick Mullens,JAX,QB,-,-,-,,
T350,Dustin Crum,FA,QB,-,-,-,,
T350,Andy Dalton,PHI,QB,-,-,-,,
T350,Jalon Daniels,TB,QB,-,-,-,,
T350,Max Brosmer,MIN,QB,-,-,-,,
T350,Anthony Brown,FA,QB,-,-,-,,
T350,Jake Browning,TB,QB,-,-,549.00,,
T350,Shane Buechele,BUF,QB,-,-,458.50,,
T350,Matthew Caldwell,LAR,QB,-,-,-,,
T350,Derek Carr,NO,QB,-,-,-,Reserve-Ret,Personal
T350,Davis Cheek,FA,QB,-,-,-,,
T350,Jacob Clark,LV,QB,-,-,-,,
T350,Sean Clifford,CIN,QB,-,-,-,,
T350,Jack Coan,FA,QB,-,-,-,,
T350,Jake Coker,FA,QB,-,-,-,,
T350,Brady Cook,NYJ,QB,-,-,-,,
T350,Case Cookus,FA,QB,-,-,-,,
T350,Chevan Cordeiro,FA,QB,-,-,-,,
T350,Matt Corral,FA,QB,-,-,-,,
T350,K.J. Costello,FA,QB,-,-,-,,
T350,Nick Fitzgerald,FA,QB,-,-,-,,
T350,Joe Flacco,CIN,QB,216.00,-,452.30,,
T350,Nick Foles,FA,QB,-,-,473.50,,
T350,Jake Fromm,FA,QB,-,-,-,,
T350,Blaine Gabbert,FA,QB,-,-,-,,
T350,Dillon Gabriel,CLE,QB,-,-,-,,
T350,Chase Garbers,FA,QB,-,-,-,,
