,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T285,Ryan Willis,FA,QB,-,211.50,-,-,,,,
T285,Tyrie Cleveland,FA,WR,-,212.00,-,-,,,,
T285,Taj McGowan,FA,RB,-,213.50,-,-,,,,
T285,Khari Blasingame,FA,RB,-,214.00,-,-,,,,
T285,Jake Elliott,PHI,K,-,215.00,-,391.50,,6.30,,
178,C.J. Stroud,HOU,QB,198.22,215.50,-,151.60,6.18,37.75,,
T285,Trevon Wesco,FA,TE,-,217.50,-,-,,,,
T285,Cody Thompson,FA,WR,-,219.00,-,-,,,,
T285,Devine Ozigbo,FA,RB,-,221.50,-,-,,,,
T285,John Wolford,FA,QB,-,222.00,-,-,,,,
T285,Matt Seybert,FA,TE,-,224.00,-,-,,,,
192,Brandon Aiyuk,SF,WR,216.02,225.00,-,194.50,1.60,10.73,Reserve-DNR,Knee - ACL + MCL
221,Fernando Mendoza,LV,QB,266.71,226.50,16.86,100.80,31.60,10.45,,
156,Keaton Mitchell,LAC,RB,170.20,227.00,-,170.00,2.04,6.50,,
T285,Theo Johnson,NYG,TE,-,229.00,-,218.20,,5.93,,
171,Isiah Pacheco,DET,RB,187.40,230.50,-,164.20,3.46,32.25,,
T285,Nicholas Singleton,TEN,RB,-,231.50,30.62,134.60,10.23,5.84,,
T285,K.J. Costello,FA,QB,-,232.50,-,-,,,,
T285,Frank Darby,FA,WR,-,233.00,-,-,,,,
194,Dontayvion Wicks,PHI,WR,220.29,234.00,-,256.60,1.60,6.67,,
T285,Hunter Thedford,FA,OT,-,236.50,-,-,,,,
161,Kayshon Boutte,NE,WR,177.20,237.00,-,184.50,2.29,8.42,,
T285,Cyrus Allen,KC,WR,-,239.50,-,226.00,1.82,,Ques,Lower Leg
191,Evan McPherson,CIN,K,215.40,240.50,-,249.50,,5.70,,
T285,Ben Sauls,NYG,K,-,241.50,-,-,,,,
200,Cade Otton,TB,TE,231.20,242.00,-,224.00,2.27,8.00,,
196,Darnell Mooney,NYG,WR,222.93,243.00,-,231.30,1.87,9.58,,
223,David Njoku,LAC,TE,269.04,244.50,-,217.10,2.32,17.43,,
151,Jalen McMillan,TB,WR,159.80,245.00,-,146.40,,8.36,,
T285,KeAndre Lambert-Smith,LAC,WR,-,-,-,-,,5.00,,
T285,Bryce Lance,NO,WR,-,-,47.43,276.80,1.18,2.00,,
